zip,locality,canton
3624,"Heiligenschwendi,Hilterfingen,Homberg,Steffisburg,Thun",BE
3625,"Heiligenschwendi,Hilterfingen,Homberg,Oberhofen am Thunersee,Sigriswil,Teuffenthal (BE),Thun",BE
3626,"Heiligenschwendi,Hilterfingen,Thun,Thunersee",BE
3627,"Brenzikofen,Fahrni,Heimberg,Kiesen,Oppligen,Steffisburg,Uetendorf,Uttigen",BE
3628,"Heimberg,Jaberg,Kiesen,Kirchdorf (BE),Uetendorf,Uttigen",BE
3629,"Brenzikofen,Heimberg,Herbligen,Jaberg,Kiesen,Kirchdorf (BE),Oppligen,Uttigen,Wichtrach",BE
3631,"Amsoldingen,Pohlern,Reutigen,Stocken-Höfen,Uebeschi",BE
3632,"Därstetten,Erlenbach im Simmental,Pohlern,Reutigen,Stocken-Höfen",BE
3633,"Amsoldingen,Reutigen,Stocken-Höfen,Thierachern,Thun,Uebeschi",BE
3634,"Amsoldingen,Forst-Längenbühl,Thierachern,Thun,Uebeschi,Uetendorf",BE
3635,"Amsoldingen,Blumenstein,Forst-Längenbühl,Pohlern,Stocken-Höfen,Thierachern,Uebeschi",BE
3636,"Blumenstein,Forst-Längenbühl,Gurzelen,Thierachern,Uebeschi,Uetendorf,Wattenwil",BE
3638,"Blumenstein,Därstetten,Forst-Längenbühl,Pohlern,Riggisberg,Rüeggisberg,Stocken-Höfen,Uebeschi,Wattenwil",BE
3645,"Amsoldingen,Reutigen,Spiez,Stocken-Höfen,Thun,Thunersee",BE
3646,"Reutigen,Spiez,Thun,Thunersee",BE
3647,"Erlenbach im Simmental,Reutigen,Spiez,Stocken-Höfen,Wimmis",BE
3652,"Heiligenschwendi,Hilterfingen,Oberhofen am Thunersee,Thunersee",BE
3653,"Heiligenschwendi,Hilterfingen,Oberhofen am Thunersee,Sigriswil,Thunersee",BE
3654,"Oberhofen am Thunersee,Sigriswil,Thunersee",BE
3655,Sigriswil,BE
3656,"Heiligenschwendi,Oberhofen am Thunersee,Sigriswil",BE
3657,"Beatenberg,Heiligenschwendi,Horrenbach-Buchen,Sigriswil,Teuffenthal (BE)",BE
3658,"Beatenberg,Sigriswil,Thunersee",BE
3661,"Forst-Längenbühl,Gurzelen,Kirchdorf (BE),Seftigen,Thierachern,Thun,Uetendorf,Uttigen",BE
3662,"Burgistein,Gurzelen,Kirchdorf (BE),Seftigen,Uetendorf",BE
3663,"Burgistein,Forst-Längenbühl,Gurzelen,Seftigen,Uetendorf,Wattenwil",BE
3664,"Burgistein,Gurzelen,Kirchdorf (BE),Riggisberg,Seftigen,Thurnen,Wattenwil",BE
3665,"Blumenstein,Burgistein,Forst-Längenbühl,Gurzelen,Riggisberg,Wattenwil",BE
3671,"Brenzikofen,Fahrni,Heimberg,Herbligen,Oberdiessbach,Oppligen,Wichtrach",BE
3672,"Buchholterberg,Freimettigen,Häutligen,Herbligen,Linden,Oberdiessbach,Wichtrach",BE
3673,"Bowil,Buchholterberg,Freimettigen,Linden,Niederhünigen,Oberdiessbach,Oberhünigen,Röthenbach im Emmental",BE
